gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3
AT1G53163,24,33,38,60,90,89,23,25,30,27,32,47
AT1G53165,575,345,425,474,623,656,258,354,190,173,274,310
AT1G53170,557,477,492,255,551,482,146,146,126,361,560,804
AT1G53180,907,690,630,457,706,754,263,412,255,372,581,837
AT1G53190,1171,821,846,1614,1344,1800,379,454,385,489,550,698
AT1G53200,252,105,136,220,146,245,92,71,35,80,81,117
AT1G53210,5186,4822,4963,5307,6924,7137,2650,2886,2247,2240,3153,3955
AT1G53220,0,0,0,0,0,0,0,0,0,0,0,0
AT1G53230,1531,827,883,430,747,710,292,313,259,276,302,419
AT1G53233,1435,788,854,381,748,711,252,284,215,285,303,406
AT1G53240,9128,3731,4538,3121,4228,4651,1911,1668,1167,1375,1539,1708
AT1G53250,230,221,230,267,222,316,39,37,40,45,66,84
AT1G53260,7,11,18,19,28,4,1,1,0,2,8,6
AT1G53265,0,2,0,1,3,0,0,0,0,0,0,0
AT1G53270,18,26,43,29,45,39,19,21,29,15,65,34
AT1G53280,1660,668,657,1098,928,1312,411,361,304,380,466,588
AT1G53282,0,0,0,1,0,0,0,0,0,1,0,0
AT1G53285,0,0,2,0,1,0,0,0,0,1,0,0
AT1G53290,534,217,228,229,221,290,138,171,102,98,120,148
AT1G53300,1991,1366,1412,761,1482,1256,665,740,496,575,573,1097
AT1G53310,5935,2975,3127,2269,3394,3372,2100,2393,1506,1129,2143,1949
AT1G53320,1232,1160,1091,879,1586,1512,480,597,377,547,842,871
AT1G53325,2,0,0,0,0,3,0,1,0,0,0,0
AT1G53330,70,19,43,55,52,49,18,21,12,23,26,25
AT1G53340,132,117,126,91,210,169,82,125,71,62,106,133
AT1G53345,166,69,63,96,94,140,43,36,47,39,45,84
AT1G53350,85,41,67,70,64,85,23,21,15,28,47,47
AT1G53360,0,6,4,8,1,2,0,1,1,1,1,0
AT1G53366,0,0,0,0,0,0,0,0,0,0,0,0
AT1G53370,0,2,6,3,1,3,2,1,1,1,2,1
AT1G53380,1054,737,763,620,749,856,326,318,297,240,449,453
AT1G53390,596,357,364,386,611,589,213,309,290,217,714,343
AT1G53400,335,331,376,309,494,498,131,201,123,136,181,222
AT1G53410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G53420,5,5,7,10,10,4,1,1,2,2,5,7
AT1G53430,1079,714,751,750,842,1113,614,678,727,302,1987,517
AT1G53440,892,647,621,788,798,1078,372,408,632,253,1334,425
AT1G53450,1080,505,509,848,633,1032,291,281,285,278,470,402
AT1G53460,215,139,130,184,176,239,75,58,31,55,82,125
AT1G53470,251,215,164,141,268,206,211,153,88,151,257,509
AT1G53480,255,776,875,246,1062,629,143,127,129,143,217,211
AT1G53490,144.47,285.75,297.42,73.43,337.25,237.1,85.79,51.41,66.55,78.54,156.38,95.97
AT1G53500,2366,1308,1320,904,1407,1413,913,1130,698,568,719,966
AT1G53510,798,678,707,639,948,1045,347,456,330,401,571,574
AT1G53520,268,154,148,42,95,84,45,74,40,49,47,74
AT1G53530,155,88,107,78,93,132,36,44,30,21,66,49
AT1G53540,65,70,39,66,28,38,30,14,8,19,49,62
AT1G53541,1,0,1,0,0,0,0,0,0,0,0,0
AT1G53542,1,1,1,0,3,2,0,0,0,1,1,1
AT1G53550,1,3,6,13,6,4,1,0,1,3,8,4
AT1G53560,536,500,568,490,697,813,166,336,207,404,691,683
AT1G53570,1309,972,945,1216,1388,1747,614,733,594,544,1008,982
AT1G53580,1451,1181,1283,1091,1951,2243,627,1047,727,822,1188,1425
AT1G53590,986,648,641,851,910,1044,353,510,355,326,529,566
AT1G53600,36,27,31,37,46,37,9,11,11,19,16,15
AT1G53610,3,1,1,2,4,6,0,1,5,1,7,1
AT1G53620,4,5,11,7,14,8,2,0,3,2,4,3
AT1G53625,13,3,9,14,19,29,23,17,22,3,117,10
AT1G53633,14,9,9,20,14,19,2,11,8,5,3,6
AT1G53635,14,2,7,15,16,28,2,0,2,1,6,1
AT1G53640,1,3,2,7,0,1,0,0,0,1,0,1
AT1G53645,937,432,482,502,552,625,281,209,195,192,323,351
AT1G53650,272,154,146,117,171,205,77,95,66,57,95,99
AT1G53655,1,2,3,1,5,2,0,0,0,0,1,2
AT1G53660,40,3,7,26,16,21,9,6,12,6,9,4
AT1G53670,599,437,413,379,477,591,126,190,131,172,190,274
AT1G53680,47,25,51,32,68,60,19,29,12,38,39,89
AT1G53683,0,0,0,0,0,0,0,0,0,0,0,0
AT1G53687,0,0,0,0,1,0,0,0,0,0,0,0
AT1G53690,61,85,62,29,114,94,27,91,36,33,27,47
AT1G53700,1257,1531,1206,1064,1222,1314,284,422,453,290,457,454
AT1G53705,0,2,1,0,0,2,0,0,0,0,0,0
AT1G53708,7,6,5,3,10,5,1,0,0,4,2,2
AT1G53710,326,204,195,141,289,310,162,156,135,126,167,193
AT1G53720,821,609,732,788,897,1182,248,209,174,240,218,308
AT1G53730,1749,1278,1221,1096,1799,1946,885,1175,735,519,526,890
AT1G53750,3155,1914,1966,1662,2603,2609,1736,1511,1188,894,1806,1386
AT1G53760,420,230,218,192,318,336,113,129,92,101,190,164
AT1G53770,330,190,213,259,303,352,117,154,128,137,184,210
AT1G53780,1028,700,722,956,1208,1215,655,490,421,562,959,1087
AT1G53790,190,157,161,158,250,242,118,105,92,72,144,156
AT1G53800,1321,966,929,1083,947,1300,281,253,222,228,204,361
AT1G53801,40,15,13,23,22,41,11,5,8,8,7,10
AT1G53815,0,4,2,2,2,2,0,1,0,0,0,1
AT1G53820,2,2,3,8,4,5,1,0,1,0,0,0
AT1G53830,613,805,819,493,1103,941,401,610,373,260,221,435
AT1G53840,2939,2160,2253,1968,2310,2734,1181,1273,920,812,1341,1346
AT1G53850,1058,507,481,471,523,718,393,337,215,226,312,320
AT1G53860,75,61,57,23,44,39,14,17,12,26,18,37
AT1G53870,2.95,3,7.41,6,9.18,3.5,2,1.5,0,2.5,18.45,2.08
AT1G53875,7,15.34,13.26,0,12.34,11.08,8.4,16.82,10.74,17,50.73,10.61
AT1G53880,282,261.8,234.99,95.89,318.33,280.81,143.72,168.2,111.24,119,168.21,171.36
AT1G53885,9.5,26.5,26,12.5,57,44.5,14.5,51.5,19.5,49.5,60.5,73.5
AT1G53887,261,187,225,53,207,279,103,130,101,107,137,168
AT1G53890,4.05,3,8.59,6,5.82,3.5,2,1.5,0,2.5,34.55,5.92
AT1G53900,0,3.86,10.74,17.11,33.33,21.12,7.88,5.98,14.02,0,6.06,4.03
AT1G53903,9.5,26.5,26,12.5,57,44.5,14.5,51.5,19.5,49.5,60.5,73.5
AT1G53910,4473,3363,3524,4018,4628,5202,1968,2468,1670,1748,2163,2925
AT1G53920,146,50,69,28,57,45,28,35,28,27,40,39
AT1G53930,0,1,0,2,1,0,0,0,0,0,0,0
AT1G53935,0,0,3,0,1,1,1,1,2,0,1,0
AT1G53940,58,29,44,155,141,208,33,84,72,43,89,57
AT1G53945,0,0,3,0,2,0,0,0,0,0,1,0
AT1G53950,0,8,12,3,15,10,1,6,7,7,26,4
AT1G53970,2,8,9,4,12,7,6,4,7,2,67,2
AT1G53980,0,3,5,5,9,6,5,2,11,1,58,5
AT1G53990,18,9,3,17,13,24,15,19,41,18,207,13
AT1G54000,1143.86,666,1090.04,943.99,2563,2191,777,900.54,695,767,1105,1103
AT1G54010,24836.14,23092,21237.96,3661.01,12799,9255,4905,5497.46,3284,3448,3697,4931
AT1G54020,4,18,25,4,11,3,1,3,2,2,17,4
AT1G54030,4095,2757,2879,1063,2218,2139,1107,1267,850,755,1343,1146
AT1G54040,255,5,7,211,19,137,10,19,12,80,101,72
AT1G54050,48,84,64,21,38,33,18,9,7,38,80,131
AT1G54060,655,376,414,624,599,648,147,193,135,208,267,282
AT1G54070,4,2,2,9,5,5,2,0,0,0,2,5
AT1G54080,4515,3066,2993,2717,3783,4120,1426,1301,1038,1253,1622,1866
AT1G54090,968,720,712,875,934,1151,438,601,417,325,506,533
AT1G54095,16,13,24,23,29,32,7,17,13,11,26,30
AT1G54100,3091,2101,2250,4897,5316,6846,2427,2939,1945,1921,4326,3355
AT1G54110,79,69,59,39,77,71,29,39,30,21,40,47
AT1G54115,550,357,344,510,541,649,252,317,222,225,418,355
AT1G54120,317,181,160,80,171,164,177,101,77,49,51,82
AT1G54130,2112,1399,1257,1917,2107,2441,939,1146,776,743,1108,1387
AT1G54140,348,221,229,147,270,280,115,78,81,90,142,133
AT1G54150,265,185,194,283,221,288,99,95,92,101,146,157
AT1G54160,43,35,31,33,49,35,25,15,3,21,35,37
AT1G54170,1083,725,798,773,1083,1219,548,529,443,385,716,664
AT1G54180,124,66,91,61,96,96,56,43,31,38,44,71
AT1G54200,319,271,277,272,472,464,89,161,153,223,199,359
AT1G54210,93,91,87,77,145,184,30,71,31,36,61,69
AT1G54215,23,31,33,31,34,28,4,9,8,7,9,8
AT1G54217,99,41,61,54,73,81,26,27,23,22,21,43
AT1G54220,535,270,266,207,344,349,177,114,118,118,141,183
AT1G54230,0,1,0,2,2,0,1,0,1,0,0,0
AT1G54240,1,2,2,0,1,2,0,0,0,0,0,0
AT1G54250,311,232,211,114,227,253,76,94,66,92,81,135
AT1G54260,31,75,73,14,98,70,46,39,31,38,68,67
AT1G54270,3886,2273,2408,1986,3049,3171,1686,1560,1096,1000,1618,1766
AT1G54280,15,21,30,34,24,24,3,6,9,7,20,10
AT1G54290,276,180,182,247,231,311,67,106,83,90,131,153
AT1G54300,0,1,1,3,2,3,0,0,0,0,1,0
AT1G54310,416,196,240,273,187,347,91,83,48,55,63,96
AT1G54320,2212,1669,1683,2234,2861,3232,1074,1543,1176,1099,1584,1622
AT1G54330,4,11,20,29,40,19,13,11,5,11,15,19
AT1G54340,735,393,424,411,614,793,287,300,213,207,347,345
AT1G54350,833,522,516,348,485,450,222,165,129,167,214,247
AT1G54355,63,27,21,13,22,37,19,8,13,9,14,16
AT1G54360,1032,598,666,687,909,1155,338,343,297,356,440,534
AT1G54370,571,393,445,342,567,666,260,324,223,217,311,368
AT1G54380,358,158,165,236,195,263,101,96,83,109,138,155
AT1G54385,209,96,100,64,87,80,37,50,20,42,26,41
AT1G54390,616,293,282,260,334,527,199,221,124,138,191,248
AT1G54400,3,6,1,5,6,7,0,4,3,4,3,2
AT1G54410,24251,14157,15736,11605,17624,19099,4836,6190,5228,5796,7439,8724
AT1G54420,3,5,6,7,11,5,0,1,1,3,0,0
AT1G54440,275,137,148,177,197,227,85,106,63,76,99,127
AT1G54445,0,0,0,0,0,0,0,0,0,0,0,0
AT1G54450,189,88,94,94,126,144,67,64,37,46,50,73
AT1G54460,680,338,404,389,544,595,188,252,195,217,327,331
AT1G54470,2,1,4,7,3,5,0,1,1,0,2,1
AT1G54475,1,1,1,2,3,0,0,0,0,0,0,0
AT1G54490,2119,1181,1206,1515,1721,2007,900,888,686,661,953,1016
AT1G54500,1525,1384,1451,524,1218,1145,344,326,278,419,348,559
AT1G54510,373,199,207,232,351,377,150,135,81,160,205,272
AT1G54520,571,463,426,336,533,552,168,172,112,173,214,224
AT1G54530,4,7,15,15,22,11,6,13,4,1,8,15
AT1G54540,5,6,11,22,35,37,18,21,40,13,60,16
AT1G54550,1,2,3,4,6,4,1,1,1,0,0,0
AT1G54560,5,1,1,3,6,0,0,0,1,4,3,10
AT1G54570,392,235,252,166,273,258,140,106,63,110,144,172
AT1G54575,115,45,70,60,125,133,47,48,38,78,145,180
AT1G54580,2253,1816,1819,1124,2295,2226,785,880,594,627,756,980
AT1G54590,7,7,1,3,9,5,1,1,0,1,9,5
AT1G54610,1344,769,809,849,1042,1130,474,457,413,376,593,575
AT1G54620,1,2,2,0,1,0,0,0,0,1,1,2
AT1G54630,2096,1705,1647,963,1925,1911,687,788,590,613,900,902
AT1G54640,1,1,1,2,4,2,0,0,0,0,0,0
AT1G54650,109,49,73,34,77,79,27,36,25,30,47,43
AT1G54670,0,0,0,0,0,0,0,0,0,0,0,0
AT1G54680,76,66,59,80,89,128,19,24,19,30,38,40
AT1G54690,772,462,414,316,461,575,199,261,158,160,173,290
AT1G54700,1,1,2,1,0,0,0,0,0,0,0,0
AT1G54710,1529,1117,1185,1560,1745,1973,795,840,675,536,1161,927
AT1G54720,0,0,0,0,0,0,0,0,0,0,0,0
AT1G54730,281,152,187,150,196,181,164,116,87,90,86,124
AT1G54740,110,73,78,193,206,266,67,105,47,109,68,110
AT1G54760,4,3,1,0,3,3,1,0,0,2,0,1
AT1G54770,263,173,188,124,182,184,98,79,59,65,78,98
AT1G54773,0,0,0,0,0,0,0,0,0,1,0,1
AT1G54775,0,0,0,0,0,1,0,0,0,0,0,0
AT1G54780,1936,1479,1519,500,1218,1020,465,377,317,421,373,511
AT1G54790,15,13,16,18,33,26,17,26,37,13,19,29
AT1G54820,98,78,78,32,64,70,50,41,38,25,17,37
AT1G54830,594,377,434,275,592,586,215,231,164,268,324,412
AT1G54840,33,14,29,24,20,20,8,7,6,10,21,23
AT1G54850,113,56,57,79,89,103,21,38,18,29,48,57
AT1G54860,605,14,27,198,37,167,111,66,34,130,61,109
AT1G54870,5811,232,216,1708,298,1475,2712,827,566,1576,841,1617
AT1G54890,18,13,16,20,70,49,8,9,11,8,15,3
AT1G54920,2590,1228,1192,2053,1543,2196,599,600,485,609,693,1030
AT1G54930,5,7,9,10,10,10,3,3,1,2,2,4
AT1G54940,39,32,41,34,75,56,24,27,14,18,21,47
AT1G54950,1,4,7,5,8,11,4,1,11,1,12,0
AT1G54953,0,0,0,0,0,0,0,0,0,0,1,0
AT1G54957,0,2,0,2,1,1,0,0,2,0,7,2
AT1G54960,98,58,72,107,105,118,31,37,33,36,54,68
AT1G54970,737,571,1046,218,989,722,665,503,217,584,819,1198
AT1G54980,0,0,0,1,0,0,0,0,0,0,0,0
AT1G54990,947,613,647,447,740,712,286,360,304,327,504,469
AT1G55000,526,453,414,555,517,718,126,153,120,160,241,203
AT1G55010,1,0,0,0,4,0,1,0,0,1,0,0
AT1G55020,2823,2004,2175,1049,1166,1401,800,686,719,303,9060,494
AT1G55030,0,1,4,4,5,5,0,1,0,0,2,1
AT1G55040,186,92,114,112,122,129,41,36,22,57,76,73
AT1G55050,81,44,53,51,59,55,33,19,13,14,23,20
AT1G55060,0,1,1,5,2,2,0,0,0,1,2,0
AT1G55070,3,2,4,2,9,4,0,2,0,2,0,2
AT1G55080,269,144,194,146,244,263,104,86,100,98,200,153
AT1G55090,1255,664,685,862,907,1160,455,459,328,316,465,527
AT1G55110,623,490,550,391,518,589,245,158,172,218,417,333
AT1G55120,422,255,210,249,216,301,80,131,97,65,130,144
AT1G55130,629,355,382,275,382,426,174,169,124,144,143,178
AT1G55140,367,254,305,84,238,185,94,64,75,43,59,94
AT1G55150,455,288,291,367,430,476,195,171,137,137,214,237
AT1G55152,482,371,348,634,480,670,116,159,99,201,154,275
AT1G55160,1136,845,911,1065,1189,1408,313,477,290,395,428,641
AT1G55170,203,92,142,159,166,192,98,90,75,75,126,100
AT1G55175,8,2,3,1,1,2,0,3,2,0,7,1
AT1G55180,175,100,122,108,160,167,95,85,84,77,145,128
AT1G55190,865,659,633,595,745,913,264,301,241,257,354,429
AT1G55200,162,67,108,50,57,47,30,20,14,23,21,39
AT1G55205,72,32,36,22,45,61,12,19,15,20,18,17
AT1G55207,2,2,3,0,1,2,0,1,0,1,2,2
AT1G55210,4982,3796,3966,1269,2256,2057,717,904,715,952,1469,1378
AT1G55220,0,0,0,1,0,1,0,0,0,0,1,0
AT1G55230,2,5,8,11,7,7,8,0,2,5,73,5
AT1G55240,3,6,13,29,119,86,42,185,86,150,150,296
AT1G55250,584,290,342,504,459,591,226,220,152,158,264,279
AT1G55260,1757,1185,1151,703,1178,1230,514,878,548,390,437,642
AT1G55265,756,548,546,301,735,711,294,358,255,277,433,379
AT1G55270,431.98,251.19,277.09,278.95,318.05,408.49,149.14,199.7,117.92,108.26,185.75,206.66
AT1G55280,56,40,48,54,39,69,17,27,20,30,44,43
AT1G55290,13,10,25,14,37,24,9,9,2,9,12,29
AT1G55300,126,105,125,86,143,126,35,46,20,40,57,108
AT1G55310,1256,778,812,1220,1122,1530,437,441,431,573,882,1029
AT1G55320,384,275,307,102,180,171,58,65,35,47,81,153
AT1G55325,1750,950,1032,1211,1352,1530,694,657,480,599,916,929
AT1G55330,4126,3587,2879,2042,4142,4000,1936,2849,2153,1184,942,1617
AT1G55335,1477,1184,932,760,1354,1381,792,1008,786,486,319,582
AT1G55340,666,386,449,363,462,500,143,183,113,146,176,212
AT1G55350,2620,1370,1332,1760,1816,2154,874,757,619,794,1183,1194
AT1G55360,2752,1553,1419,1176,1863,1821,970,1146,785,790,926,1265
AT1G55365,18,12,20,26,23,32,9,14,12,15,31,15
AT1G55370,201,142,131,75,162,117,62,65,48,64,70,74
AT1G55380,85.68,48,62,82,71,63.33,18,28,27,11,30.53,23
AT1G55390,47,36,66,99,99,101,28,33,30,33,31,31
AT1G55420,47.32,47,75,121,119,151.67,29,36,26,29,33.47,44
AT1G55430,34,40,45,62,115,105,23,35,7,25,21,32
AT1G55440,20,22,26,69,61,34,10,4,8,3,11,3
AT1G55450,655,518,497,445,649,740,835,1180,2090,203,2537,372
AT1G55460,183,91,111,181,168,171,30,53,19,52,65,56
AT1G55475,78,62,69,82,87,113,30,38,30,47,59,32
AT1G55480,784,648,648,278,508,465,150,165,112,174,127,225
AT1G55490,18667,12850,13151,9117,10299,11911,3190,2378,1887,2360,1871,3317
AT1G55500,771,411,449,418,468,578,310,245,186,167,421,358
AT1G55510,289,159,181,333,282,362,121,132,96,102,241,172
AT1G55520,413,426,488,390,635,580,184,263,158,187,239,299
AT1G55525,0,0,0,0,0,0,0,0,0,0,1,0
AT1G55530,1393,1268,1257,2321,1592,2316,420,357,315,510,905,1143
AT1G55535,374,262,224,233,277,330,127,159,103,94,120,129
AT1G55540,1301,702,664,862,882,1042,332,318,227,376,437,549
AT1G55546,0,0,0,0,0,0,0,0,0,0,0,0
AT1G55550,43,37,28,11,14,14,18,9,7,14,11,23
AT1G55560,2,2,0,17,15,3,0,0,0,4,3,2
AT1G55570,3,5,6,14,10,1,1,0,1,0,3,3
AT1G55580,75,43,38,107,95,94,16,23,15,25,32,46
AT1G55590,501,356,362,540,545,737,170,205,158,184,273,335
AT1G55591,0,0,0,0,0,0,0,0,0,0,0,0
AT1G55600,1,3,8,5,4,3,1,0,0,1,0,2
AT1G55610,54,84,114,276,375,313,58,123,73,170,275,289
AT1G55620,706,415,344,410,455,526,234,252,188,190,271,279
AT1G55625,0,0,0,0,0,0,0,0,0,0,0,0
AT1G55630,117,62,56,65,96,79,34,50,25,33,42,47
AT1G55640,15,14,17,9,16,23,5,3,2,3,5,3
AT1G55650,0,2,8,4,4,4,0,0,0,1,0,1
AT1G55660,3,7,12,10,10,2,0,0,0,4,2,3
AT1G55670,4467,8647,9490,1142,9487,5926,1817,2237,1874,3015,2652,2875
AT1G55673,3037,6117,6806,596,6848,4270,1239,1468,1208,2372,1938,1935
AT1G55675,193,186,165,97,188,234,56,49,32,70,63,77
AT1G55680,1652,1034,1097,1240,1859,1834,831,764,660,715,1053,1173
AT1G55690,1052,754,757,639,822,842,324,377,241,254,326,437
AT1G55700,2,11,23,13,27,16,1,2,6,3,5,4
AT1G55710,0,1,0,0,0,1,0,0,0,0,0,0
AT1G55720,10,1,2,4,2,1,0,1,2,1,0,3
AT1G55730,371,272,279,243,406,521,191,217,201,133,257,245
AT1G55740,202,135,112,150,305,282,91,161,57,126,82,230
AT1G55750,234,129,176,158,254,241,119,119,55,79,101,134
AT1G55755,36,6,2,5,10,9,9,21,6,3,7,13
AT1G55760,533,341,311,122,324,318,139,207,141,96,161,216
AT1G55770,2,4,2,8,6,6,1,3,0,2,3,1
AT1G55775,3,3,0,11,10,11,7,5,11,9,10,8
AT1G55790,1,2,5,1,0,1,0,0,0,1,0,1
AT1G55800,4,3,1,5,7,4,3,0,2,1,0,3
AT1G55803,3,1,2,3,8,4,1,2,0,1,1,5
AT1G55805,241,204,237,425,282,336,60,80,61,70,73,121
AT1G55810,467,498,438,706,969,1120,271,362,269,259,419,492
AT1G55820,334,250,314,237,408,428,187,129,152,143,237,239
AT1G55830,208,145,168,184,213,240,113,102,89,93,116,128
AT1G55840,1623,942,824,620,1044,1114,666,751,468,354,597,619
AT1G55850,2059,1394,1645,2459,2048,2395,1724,1111,1266,692,3901,1053
AT1G55860,7107.39,3660.16,3884.52,4436.09,5461.33,6146.41,2780.28,2412.2,1636.41,2260.68,3683.13,3395.5
AT1G55865,20,7,3,1,7,10,0,3,0,1,3,5
AT1G55870,424,258,257,271,296,337,123,131,88,99,134,211
AT1G55880,283,207,203,278,265,297,81,91,72,61,100,123
AT1G55890,598,333,360,310,436,494,193,180,160,180,213,233
AT1G55900,382,205,235,137,298,289,115,131,91,94,117,137
AT1G55910,102,58,37,38,63,49,28,56,37,24,62,37
AT1G55915,80,42,57,75,61,62,41,37,27,25,42,42
AT1G55917,0,0,0,0,0,0,0,0,0,0,0,0
AT1G55920,866,823,1105,1389,2462,2075,1069,929,1213,725,3772,1090
AT1G55928,0,9,4,1,5,4,0,0,0,0,0,2
AT1G55930,262,134,153,138,169,164,93,76,66,62,113,129
AT1G55940,1,2,4,9,9,7,2,7,6,0,18,13
AT1G55945,0,0,0,0,1,2,0,0,2,0,0,0
AT1G55947,0,0,2,2,0,1,0,0,0,0,0,0
AT1G55950,1,1,3,6,7,4,0,0,0,3,0,1
AT1G55960,187,230,287,194,469,399,156,230,123,146,212,304
AT1G55970,250,129,131,149,196,225,86,82,67,85,153,160
AT1G55980,95.32,5.44,26.26,67.06,73.63,87.6,17.19,13.91,21.61,34.03,25.6,35.36
AT1G55990,5,15,37,20,83,78,25,39,71,38,359,30
AT1G56000,334.68,305.56,283.74,203.94,285.37,357.4,80.81,92.09,65.39,82.97,119.4,123.64
AT1G56010,708,971,903,1126,1798,1954,379,976,596,739,1004,994
AT1G56020,345,128,179,199,248,227,87,104,73,95,94,133
AT1G56030,1,1,2,6,3,2,1,0,0,1,1,1
AT1G56040,1,2,1,4,10,4,0,0,1,0,2,3
AT1G56045,1546,948,923,375,1018,1136,346,341,236,368,387,472
AT1G56050,492,309,305,86,225,216,131,81,51,106,100,117
AT1G56060,17,11,11,1,8,10,24,7,31,15,450,17
AT1G56070,37186,18319,20111,23144,23016,28602,11805,10654,8673,9212,14279,13373
AT1G56080,187,78,92,131,136,165,43,54,29,33,43,71
AT1G56085,1,5,6,1,6,1,2,0,0,0,2,4
AT1G56090,263,178,181,301,248,411,83,123,91,106,137,151
AT1G56100,1,1,1,5,6,2,0,1,0,0,1,0
AT1G56105,0,1,0,0,0,0,0,0,0,0,0,0
AT1G56110,2040,896,1090,1350,1418,1555,724,597,462,599,720,825
AT1G56120,23,22,20,26,28,31,9,5,2,15,16,17
AT1G56130,67,32,33,57,58,72,29.01,18,32,27,353,50
AT1G56140,645,496,588,924,1015,1144,579.99,612,766,375,1885,607
AT1G56145,582,331,395,878,706,1036,291,387,356,245,814,359
AT1G56150,83,45,40,29,69,60,8,10,10,20,32,26
AT1G56160,7,2,5,15,7,7,1,0,0,1,5,3
AT1G56165,14,8,13,28,19,27,1,6,2,5,16,7
AT1G56170,177,90,110,90,165,194,46,40,22,209,239,602
AT1G56180,572,341,355,521,429,631,146,171,108,271,341,695
AT1G56190,4502,2551,2688,2631,2391,2672,980,933,700,780,769,1046
AT1G56200,1209,736,774,1207,1065,1782,243,233,134,278,371,343
AT1G56210,639,301,341,365,468,485,136,151,109,172,191,257
AT1G56220,5403,3694,3532,5632,9996,10075,2972,3802,2785,4363,5633,7119
AT1G56225,0,0,0,0,0,0,0,0,0,0,0,0
AT1G56230,483,281,288,630,538,681,205,367,239,230,326,399
AT1G56233,0,0,3,0,0,4,0,0,0,1,0,0
AT1G56240,8,9,22,11,20,10,72,39,147,2,582,12
AT1G56242,2,4,4,5,12,6,32,12,68,0,310,3
AT1G56250,5,5,14,4,21,10,11,3,29,9,338,13
AT1G56260,29,23,30,15,25,31,6,14,12,7,13,17
AT1G56270,1,1,2,2,3,2,0,0,0,1,0,0
AT1G56280,9988,7498,7051,12486,10719,15454,3036,3720,2734,4958,5783,7593
AT1G56290,515,295,366,443,491,617,208,192,128,179,277,307
AT1G56300,973,327,401,681,297,785,251,104,108,103,234,191
AT1G56310,184,89,102,94,126,139,53,65,31,52,64,85
AT1G56320,6,4,2,6,21,24,5,20,26,9,58,23
AT1G56330,2355,1707,1451,855,1643,1571,851,1119,619,623,755,899
AT1G56340,4291,1536,1656,1936,2260,2589,1347,1247,951,989,2250,1380
AT1G56345,88,40,44,48,56,60,17,25,15,24,38,40
AT1G56350,119,47,64,57,66,88,30,38,23,34,46,42
AT1G56360,0,0,0,3,0,0,0,0,0,0,1,2
AT1G56380,0,0,0,1,2,1,1,0,0,0,0,0
AT1G56385,1,0,1,1,0,1,0,0,0,2,0,0
AT1G56400,0,0,3,11,1,2,0,1,1,1,1,1
AT1G56410,1,5,1,10,7,11,1,0,0,0,4,1
AT1G56415,0,0,0,0,3,1,0,0,1,2,0,2
AT1G56418,1,1,0,0,0,0,0,0,0,0,0,0
AT1G56420,117,65,70,81,99,126,28,33,21,37,48,61
AT1G56423,234,98,112,117,146,138,85,119,94,75,100,90
AT1G56430,94,58,97,113,172,177,39,58,40,61,100,58
AT1G56440,279,119,158,212,225,308,84,72,41,90,131,164
AT1G56450,2300,962,924,741,936,1242,630,570,439,410,556,574
AT1G56460,779,525,534,1001,892,1252,292,376,304,324,458,507
AT1G56500,462,443,446,175,457,423,229,213,170,119,144,193
AT1G56510,12,25,32.41,4.43,40,13,17,2,13,9,50,23
AT1G56520,48,52,48.59,44.57,48,52,20,11,12,22,33,32
AT1G56530,7,16,16,12,37,8,2,2,0,3,8,8
AT1G56540,104,54,54,85,105,96,46,111,83,44,87,104
AT1G56550,130,132,202,205,393,351,141,284,135,146,252,288
AT1G56553,1,1,0,0,1,1,0,0,0,0,0,0
AT1G56555,1,0,0,0,0,0,0,0,2,0,1,2
AT1G56560,505,367,400,394,485,534,211,253,160,190,276,268
AT1G56570,7815,5396,5037,2581,3962,3660,2156,1952,1429,1492,2433,2657
AT1G56580,8209,5518,5150,2507,4024,3641,2211,1901,1481,1538,2419,2587
AT1G56590,503,366,369,278,448,478,205,218,150,168,222,258
AT1G56600,320,396,344,134,477,310,39,45,20,450,967,2943
AT1G56610,214,148,150,160,165,248,79,92,80,90,112,128
AT1G56612,179,150,140,178,163,255,88,72,56,82,104,142
AT1G56620,0,0,0,3,6,3,0,0,0,1,0,4
AT1G56630,13,11,15,31,51,46,11,17,10,20,25,43
AT1G56650,58,46,54,1,13,13,5,5,0,33,54,68
AT1G56660,277,269,435,254,600,452,102,94,44,169,345,296
AT1G56670,41,37,36,29,30,40,14,15,14,15,19,25
AT1G56680,56,28,40,76,91,98,17,14,20,9,34,12
AT1G56690,43,31,59,67,77,50,4,9,11,15,28,28
AT1G56700,985,863,718,1019,1464,1683,424,825,479,504,608,712
AT1G56710,18,13,12,21,25,22,10,11,7,8,17,20
