gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3
AT5G53000,857,448,479,465,626,725,298,320,223,237,360,362
AT5G53010,201,81,108,123,123,150,104,79,79,70,163,137
AT5G53020,277,168,174,226,234,269,153,153,96,95,138,153
AT5G53030,2,8,14,17,14,15,3,8,1,6,14,6
AT5G53040,0,0,0,0,0,2,0,0,0,0,0,1
AT5G53045,61,49,31,21,70,46,18,20,11,19,28,36
AT5G53048,116,157,171,21,91,49,16,6,11,57,45,78
AT5G53050,285,325,290,130,377,269,137,145,121,128,326,222
AT5G53060,308,184,182,226,244,268,114,107,75,101,176,147
AT5G53070,403,181,217,191,212,286,72,69,53,70,79,82
AT5G53080,255,133,127,153,136,185,70,53,35,43,61,79
AT5G53090,162,76,91,61,81,86,33,48,23,32,24,58
AT5G53100,0,1,0,1,2,0,0,0,0,0,0,0
AT5G53110,172,155,225,243,423,411,160,302,302,157,428,238
AT5G53120,449,315,314,273,397,419,204,207,128,210,341,668
AT5G53130,1014,575,706,806,1066,1095,531,556,496,385,609,613
AT5G53140,3884,2160,2157,2223,3111,3212,1324,1529,1161,1179,1413,1834
AT5G53150,551,368,430,501,555,609,230,221,161,202,261,289
AT5G53160,2456,2426,2501,3702,2797,4630,552,702,515,778,893,1137
AT5G53170,2605,1862,2043,2310,2045,2429,775,579,488,557,606,795
AT5G53180,686,461,439,362,604,695,249,255,213,196,275,323
AT5G53190,63,65,94,176,364,377,49,118,77,170,84,152
AT5G53200,51,10,12,15,21,29,14,4,10,5,9,9
AT5G53210,141,135,129,67,98,97,15,25,12,21,10,27
AT5G53220,139,44,62,93,104,85,58,35,25,53,77,72
AT5G53230,1,11,3,16,12,4,3,5,5,4,0,0
AT5G53240,3,4,3,11,14,8,0,5,1,4,3,5
AT5G53250,3658,6225,4926,2010,6667,5371,1761,2770,1841,1714,828,1834
AT5G53260,3,3,2,1,0,4,0,1,2,2,1,1
AT5G53270,8,1,3,3,4,4,1,0,0,5,1,2
AT5G53280,227,168,154,104,173,218,64,83,67,71,78,106
AT5G53290,161,95,118,150,297,204,89,75,76,98,97,173
AT5G53300,15474,10606,11241,14292,15511,20670,4862,5330,4341,5636,7902,7780
AT5G53310,678,387,374,535,501,667,237,288,240,185,416,273
AT5G53320,76,50,76,158,215,222,49,94,60,84,104,131
AT5G53330,599,385,383,367,547,638,250,288,271,237,442,284
AT5G53340,505,208,232,254,264,349,149,200,117,121.43,157,208
AT5G53350,2579,1900,2160,3227,2473,3732,865,1111,873,828,1292,1368
AT5G53360,247,134,146,224,206,297,78,91,82,84,126,135
AT5G53370,947,937,871,1024,960,1048,209,644,482,454,364,609
AT5G53380,1,1,2,1,5,2,0,3,0,2,0,0
AT5G53390,7,1,4,2,4,3,1,0,0,1,2,3
AT5G53400,999,487,551,837,630,787,297,206,162,260,361,411
AT5G53410,0,0,0,0,0,0,0,0,0,0,0,0
AT5G53420,1201,802,853,432,547,637,172,198,131,227,314,420
AT5G53430,680,341,307,424,507,523,269,247,163,189,301,352
AT5G53440,1206,598,725,1119,1051,1210,366,331,219,365,573,492
AT5G53450,761,442,485,591,854,940,237,348,238,268,656,405
AT5G53460,30518,17679,20285,19486,23021.19,25145.21,8537,10972,6376,8494,16075.32,11217
AT5G53470,350,175,160,135,193.81,200.79,89,86,63,99,147.68,126
AT5G53480,3504,1671,1567,2072,2737,2967,1335,1481,834,1091,1390,1417
AT5G53486,22,17,17,16,13,22,2,3,2,5,4,3
