gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT5G41080,424.6728731,555.1246802,466.2148155,260.6016232,769.8691983,469.7593036
AT5G41090,0,1.752862055,1.642115532,4.073254866,2.509370801,3.39943551
AT5G41100,317.8754536,346.5695177,304.7726292,285.9246839,360.4014405,338.624559
AT5G41110,153.017379,123.9045307,135.6147521,178.5437634,213.837093,198.2846298
AT5G41120,53.42522073,61.90768497,75.01378115,43.92768358,70.96877149,47.59703424
AT5G41130,69.58477736,79.57284661,81.60555107,80.12857028,90.23542342,77.0386323
AT5G41140,604.5992176,479.5307962,472.5157207,405.1513948,481.4047216,477.6399021
AT5G41150,187.0444321,214.3586137,198.6124471,239.073831,221.974409,249.0011515
AT5G41160,12.03309484,19.13883464,26.90961285,26.83558671,35.6282021,22.67459526
AT5G41170,22.9862541,18.31722872,24.72703823,22.15047961,28.88040769,21.26960184
AT5G41180,121.6872243,152.689552,137.4300907,164.6331854,131.7152506,133.559717
AT5G41190,657.1416209,614.5435748,650.8223718,830.8375904,590.4601349,739.6424294
AT5G41200,0.545368712,0,3.273417232,4.069774404,2.504976208,2.266871086
AT5G41210,530.2483748,597.288401,572.1174659,330.1102702,449.9047765,446.7077547
AT5G41220,161.0043727,170.1600265,153.119711,200.7583318,149.5584221,185.3660705
AT5G41240,135.559006,102.5136026,126.0606801,172.798381,110.7211928,123.0888445
AT5G41250,0,7.776567216,4.051705718,21.10836054,9.344430207,6.805425784
AT5G41260,700.3873211,777.098613,683.7944834,715.3506866,825.632855,817.4319562
AT5G41270,138.3319726,126.2009351,150.1059286,286.2783673,155.6746422,266.9850624
AT5G41280,27.37782046,25.19210785,51.30445014,43.08455046,50.59353627,53.85734048
AT5G41290,46.52516756,33.02639055,73.32500221,52.84575685,56.22852402,72.56333396
AT5G41300,7.111723366,10.4369235,19.56639732,17.07622685,27.49930022,19.84058079
AT5G41310,0,0.858929666,0.80588537,3.24269212,1.242239309,1.13467296
AT5G41315,15.24559116,9.834662649,13.86616079,19.51568612,19.88885002,19.02636739
AT5G41320,66.04364658,45.1477213,61.81018504,101.0454573,77.4724654,68.18583737
AT5G41330,277.5575363,270.6621986,235.8931938,347.6288269,284.2884211,270.1775139
AT5G41340,288.2103788,359.6393212,279.013263,263.0912299,270.8302741,277.8733956
AT5G41350,188.1297869,171.0395823,186.1451251,206.9948485,228.9360534,233.8275086
AT5G41360,228.9901926,160.2782022,128.659784,147.5033516,189.5826971,177.2975363
AT5G41370,681.1569999,435.7900511,462.8856461,995.6827371,448.6087648,722.1862954
AT5G41380,2.752894268,5.17457787,2.426771594,4.868905187,5.601396187,7.373450143
